STRUCTURE_NAME,REF_AREA,Reference area,Measure,Unit of measure,Age,Domain,TIME_PERIOD
Current well-being by age,CAN,Canada,Life satisfaction,0-10 scale,Young,Subjective well-being,2021
Current well-being by age,CAN,Canada,Life satisfaction,0-10 scale,Young,Subjective well-being,2022
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,CZE,Czechia,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,HUN,Hungary,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,HUN,Hungary,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,HUN,Hungary,Job strain,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,DEU,Germany,Self-reported depression,Percentage of population aged 15 years or over in the same subgroup,Young,Health,2014
Current well-being by age,DEU,Germany,Self-reported depression,Percentage of population aged 15 years or over in the same subgroup,Young,Health,2019
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2010
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2011
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2012
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2013
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2014
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2015
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2016
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2017
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2018
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2019
Current well-being by age,ITA,Italy,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2021
Current well-being by age,LUX,Luxembourg,Time spent in social interactions,Hours per week,Young,Social connections,2012
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2010
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2011
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2012
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2014
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2015
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2016
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2017
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2018
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2019
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2020
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2021
Current well-being by age,SWE,Sweden,Social support,Percentage of population aged 15 years or over in the same subgroup,Young,Social connections,2022
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2004
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2005
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2006
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2007
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2008
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2009
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2010
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2011
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2012
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2013
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2014
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2015
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2016
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2017
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2018
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2019
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2020
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2021
Current well-being by age,FRA,France,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2022
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,BRA,Brazil,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2007
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2008
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2009
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2010
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2011
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2012
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2013
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2014
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2015
Current well-being by age,JPN,Japan,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Young,Work and job quality,2016
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2010
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2011
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2012
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2013
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2014
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2015
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2016
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2017
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2018
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2019
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2020
Current well-being by age,BRA,Brazil,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2021
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,BRA,Brazil,Long hours in paid work,Percentage of employees in the same subgroup,Middle-aged,Work and job quality,2021
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,DNK,Denmark,Labour market insecurity,Percentage of previous earnings lost in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2004
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2005
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2006
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2007
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2008
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2009
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2010
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2011
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2012
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2013
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2014
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2015
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2016
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2017
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2018
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2019
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2020
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2021
Current well-being by age,ESP,Spain,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Young,Health,2022
Current well-being by age,SVN,Slovenia,Having a say in government,Percentage of population aged 16-65 in the same subgroup,Young,Civic engagement,2014
Current well-being by age,ITA,Italy,Adult literacy skills,Points,Middle-aged,Knowledge and skills,2012
Current well-being by age,HUN,Hungary,Adult literacy skills,Points,Middle-aged,Knowledge and skills,2017
Current well-being by age,DEU,Germany,Time off,Hours per day,Young,Work-life balance,2012
Current well-being by age,ISL,Iceland,Self-reported depression,Percentage of population aged 15 years or over in the same subgroup,Young,Health,2014
Current well-being by age,ISL,Iceland,Self-reported depression,Percentage of population aged 15 years or over in the same subgroup,Young,Health,2019
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2010
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2011
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2012
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2013
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2014
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2015
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2016
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2017
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2018
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2019
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2020
Current well-being by age,ESP,Spain,Negative affect balance,Percentage of population aged 15 years or over in the same subgroup,Young,Subjective well-being,2021
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2010
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2011
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2012
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2013
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2014
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2015
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2016
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2017
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2018
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2019
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2020
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2021
Current well-being by age,JPN,Japan,Feeling safe at night,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,Safety,2022
Current well-being by age,CAN,Canada,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2016
Current well-being by age,CAN,Canada,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2021
Current well-being by age,CAN,Canada,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2022
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2004
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2005
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2006
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2007
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2008
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2009
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2010
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2011
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2012
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2013
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2014
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2015
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2016
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2017
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2018
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2019
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2020
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2021
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2022
Current well-being by age,KOR,Korea,Employment rate,Percentage of population aged 25-64 years in the same subgroup,Young,Work and job quality,2023
Current well-being by age,MEX,Mexico,Life satisfaction,0-10 scale,Young,Subjective well-being,2021
Current well-being by age,MEX,Mexico,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2005
Current well-being by age,MEX,Mexico,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2006
Current well-being by age,DNK,Denmark,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2013
Current well-being by age,DNK,Denmark,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2018
Current well-being by age,DNK,Denmark,Satisfaction with time use,0-10 scale,Middle-aged,Work-life balance,2022
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2005
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2007
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2008
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2009
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2010
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2011
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2012
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2013
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2014
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2015
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2016
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2017
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2018
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2019
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2020
Current well-being by age,CAN,Canada,Perceived health as positive,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,Health,2021
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2004
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2005
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2006
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2007
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2008
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2009
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2010
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2011
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2012
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2013
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2014
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2015
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2016
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2017
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2018
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2019
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2020
Current well-being by age,HUN,Hungary,Long-term unemployment rate,Percentage of labour force in the same subgroup,Middle-aged,Work and job quality,2021
